# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.7583658020383086,2.5844134997827766,-92.1657628593468,0,3.0,0.31385948755439746,0.0,0.0,0.0
 0.08349866278822951,2.757970585469786,2.5739629301735754,-92.1657628593468,0.25049598836468856,3.0000000000000004,0.31385948755439746,0.0,5.430036298748995,0.0
 0.11820103793821193,2.7576083211838935,2.5634699938001244,-91.97732770262958,0.35460311381463583,3.0,0.31042554013059587,0.0,7.0059923500401355,0.0
 0.14490670537940203,2.7572790578500763,2.552935436355132,-91.79022800083388,0.4347201161382061,2.999999999999999,0.30712089581604785,0.0,8.230055238016238,0.0
 0.167484348166495,2.756982844137777,2.542360003531305,-91.60441275355191,0.502453044499485,3.0000000000000027,0.3039415236312931,0.0,9.25390765588361,0.0
 0.18743057931968676,2.7567197287164396,2.5317444410213534,-91.41983217237737,0.5622917379590604,3.0000000000000027,0.30088357683869954,0.0,10.142717478230145,0.0
 0.20551198025892028,2.7564897602555067,2.5210894945179847,-91.23643763104013,0.616535940776761,3.0000000000000013,0.29794338448054214,0.0,10.932281230850734,0.0
 0.22218334186857167,2.756292987424423,2.510395909713907,-91.0541816174222,0.6665500256057152,3.000000000000003,0.2951174428525396,0.0,11.644988515758108,0.0
 0.23774058605524562,2.75612945889263,2.4996644323018273,-90.87301768753154,0.7132217581657371,3.0000000000000018,0.2924024081291646,0.0,12.296047065940297,0.0
 0.25238897389912357,2.7559992233295723,2.488895807974455,-90.69290042116307,0.7571669216973709,2.999999999999996,0.2897950887535424,0.0,12.89639821447588,0.0
 0.26627773872093674,2.7559023294046936,2.478090782424497,-90.51378537931377,0.7988332161628104,3.000000000000004,0.2872924388081458,0.0,13.454256253353666,0.0
 0.27951937116490566,2.7558388257874364,2.4672501013446633,-90.33562906319989,0.8385581134947172,3.0,0.28489155121173854,0.0,13.975993993287005,0.0
 0.2922011302249669,2.755808761147245,2.4563745104276604,-90.15838887475215,0.876603390674901,3.0000000000000044,0.2825896518422242,0.0,14.466686341884822,0.0
 0.3043922977076131,2.7558121841535623,2.4454647553661975,-89.98202307863933,0.9131768931228396,2.9999999999999956,0.28038409332086234,0.0,14.930461438849768,0.0
 0.3161489546417101,2.7558491434758317,2.4345215818529815,-89.80649076563499,0.9484468639251306,3.0,0.27827234989742783,0.0,15.370737031433757,0.0
 0.3275172415347473,2.755919687783496,2.4235457355807215,-89.63175181730425,0.9825517246042421,2.999999999999995,0.276252012022511,0.0,15.790385125286988,0.0
 0.33853565204012026,2.756023865746,2.412537962242125,-89.4577668719559,1.015606956120361,2.999999999999995,0.2743207812493871,0.0,16.191850019519645,0.0
 0.34923668866828306,2.7561617260327864,2.4014990075299005,-89.28449729181929,1.0477100660048493,3.0,0.27247646598740066,0.0,16.577235039525267,0.0
 0.35964808478620514,2.756333317313299,2.390429617136756,-89.1119051312829,1.0789442543586154,2.9999999999999893,0.2707169765891946,0.0,16.948367618259894,0.0
 0.369793724110008,2.7565386882569802,2.3793305367554,-88.9399531063008,1.109381172330024,3.0,0.2690403215433792,0.0,17.306849068740746,0.0
 0.37969434442856637,2.7567778875332745,2.3682025120785397,-88.76860456476062,1.1390830332856992,3.0000000000000058,0.2674446033324838,0.0,17.65409325671485,0.0
 0.389368084358828,2.757050963811624,2.3570462887988843,-88.59782345789057,1.168104253076484,2.9999999999999885,0.2659280147818029,0.0,17.991357108821653,0.0
 0.3988309138901375,2.7573579657614733,2.345862612609141,-88.42757431253287,1.1964927416704123,2.9999999999999942,0.2644888353686004,0.0,18.31976497232185,0.0
 0.4080969775324841,2.757698942052266,2.334652229202018,-88.25782220438651,1.224290932597452,2.999999999999988,0.26312542801263816,0.0,18.640328320007796,0.0
 0.4171788708049159,2.7580739413534445,2.3234158842702244,-88.08853273202111,1.2515366124147473,2.9999999999999876,0.2618362358935674,0.0,18.95396183883057,0.0
 0.4260878652270861,2.758483012334453,2.312154323506467,-87.91967199172093,1.278263595681258,3.0000000000000124,0.2606197793312709,0.0,19.261496699977915,0.0
 0.4348340930633506,2.758926203664734,2.300868292603455,-87.75120655311548,1.3045022791900514,2.999999999999981,0.2594746530601069,0.0,19.563691608200607,0.0
 0.44342670027624526,2.7594035640137315,2.2895585372538956,-87.583103435492,1.3302801008287355,3.000000000000013,0.2583995234472657,0.0,19.861242062520674,0.0
 0.451873974123954,2.7599151420508887,2.2782258031504976,-87.41533008483427,1.3556219223718617,2.9999999999999933,0.25739312613415016,0.0,20.15478818822355,0.0
 0.46018345035231273,2.76046098644565,2.2668708359859684,-87.2478543514966,1.380550351056938,3.0000000000000067,0.2564542632850989,0.0,20.44492139625729,0.0
 0.46836200382914245,2.7610411458674577,2.2554943814530173,-87.08064446852775,1.4050860114874273,3.000000000000027,0.25558180173196793,0.0,20.732190096242118,0.0
 0.47641592564000157,2.7616556689857554,2.244097185244351,-86.91366903052474,1.4292477769200047,3.000000000000007,0.25477467050044833,0.0,21.017104602286793,0.0
 0.484350989034996,2.7623046044699864,2.2326799930526784,-86.74689697312638,1.453052967104988,3.000000000000007,0.25403185904059206,0.0,21.30014139820588,0.0
 0.49217250613357044,2.7629880009895946,2.221243550570708,-86.58029755297825,1.4765175184007113,2.999999999999993,0.25335241505815437,0.0,21.581746840298223,0.0
